variable,value
http_status_continue,100
http_status_switching_protocol,101
http_status_switching_protocols,101
http_status_processing,102
http_status_early_hints,103
http_status_ok,200
http_status_created,201
http_status_accepted,202
http_status_nonauthoritative_information,203
http_status_no_content,204
http_status_reset_content,205
http_status_partial_content,206
http_status_multistatus,207
http_status_already_reported,208
http_status_im_used,226
http_status_multiple_choice,300
http_status_multiple_choices,300
http_status_moved_permanently,301
http_status_moved_temporarily,302
http_status_found,302
http_status_see_other,303
http_status_not_modified,304
http_status_use_proxy,305
http_status_temporary_redirect,307
http_status_permanent_redirect,308
http_status_bad_request,400
http_status_unauthorized,401
http_status_payment_required,402
http_status_forbidden,403
http_status_not_found,404
http_status_method_not_allowed,405
http_status_not_acceptable,406
http_status_proxy_authentication_required,407
http_status_request_timeout,408
http_status_conflict,409
http_status_gone,410
http_status_length_required,411
http_status_precondition_failed,412
http_status_payload_too_large,413
http_status_request_entity_too_large,413
http_status_requesturi_too_large,414
http_status_uri_too_long,414
http_status_unsupported_media_type,415
http_status_requested_range_not_satisfiable,416
http_status_range_not_satisfiable,416
http_status_expectation_failed,417
http_status_im_a_teapot,418
http_status_misdirected_request,421
http_status_unprocessable_entity,422
http_status_locked,423
http_status_failed_dependency,424
http_status_too_early,425
http_status_upgrade_required,426
http_status_precondition_required,428
http_status_too_many_requests,429
http_status_request_header_fields_too_large,431
http_status_unavailable_for_legal_reasons,451
http_status_internal_server_error,500
http_status_not_implemented,501
http_status_bad_gateway,502
http_status_service_unavailable,503
http_status_gateway_timeout,504
http_status_http_version_not_supported,505
http_status_variant_also_negotiates,506
http_status_insufficient_storage,507
http_status_loop_detected,508
http_status_not_extended,510
http_status_network_authentication_required,511
