group_name,session,feature,scenario,step,line_number,step_duration,timestamp,step_result,step_type
,0-Feature,Feature: Verify Environment,Scenario: Verify Terminal Connection,Feature: Verify Environment,38,0,1675400414672,Fail,FEATURE_START
,0-Feature,Feature: Verify Environment,Scenario: Verify MOCA Connection,Scenario: Verify MOCA Connection,68,0,1675400414720,Pass,SCENARIO_START
,0-Feature,Feature: Verify Environment,"Background: ","Given I ""setup the environment""",45,75,1675400415577,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,"Background: ",Then I assign all chevron variables to unassigned dollar variables,46,4,1675400415681,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,"Background: ","And I import scenarios from ""Utilities/Base/Environment.feature""",47,183,1675400415697,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,"Background: ","When I execute scenario ""Set Up Environment""",48,6473,1675400415883,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Given I ""read BUNDLE_CI_ENVIRONMENT from Windows OS Environment variable and set to environment if found""",109,1,1675400415901,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I assign """" to variable ""bundle_ci_environment""",110,2,1675400415908,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign OS environment variable ""BUNDLE_CI_ENVIRONMENT"" to variable ""bundle_ci_environment""",111,2,1675400415930,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"If I verify variable ""bundle_ci_environment"" is assigned",112,3,1675400415974,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I verify text  ($bundle_ci_environment) is not equal to """"",113,6,1675400415992,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I ""resolve the environment to be used by the test case or Environment variable""",117,1,1675400416011,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"If I verify variable ""environment"" is assigned",118,1,1675400416015,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"ElsIf I assign values in row 1 from ""Environments/Environment.csv"" to variables",121,11,1675400416037,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I echo ""The environment is set by the environment CSV file.  Value is "" PDBD-WM201911 ($environment)",122,14,1675400416053,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign variable ""environment_directory"" by combining ""Environments/"" PDBD-WM201911 ($environment)",126,4,1675400416076,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""load any CI/Pipleine specific environment override variables""",128,2,1675400416082,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"If I verify variable ""bundle_ci_environment"" is assigned",129,2,1675400416086,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I verify text  ($bundle_ci_environment) is not equal to """"",130,0,1675400416089,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I ""load any warehouse and environment specific override variable""",137,0,1675400416090,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"If I verify variable ""wh_id"" is assigned",138,1,1675400416091,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I ""load any environment specific override variable""",146,1,1675400416094,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"When I assign variable ""environment_file"" by combining Environments/PDBD-WM201911 ($environment_directory) ""/"" PDBD-WM201911 ($environment) ""_Environment_Override.csv""",147,1,1675400416097,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,If I verify file Environments/PDBD-WM201911/PDBD-WM201911_Environment_Override.csv ($environment_file) exists,148,12,1675400416101,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""load any environment independent but warehouse specific override variables""",152,0,1675400416117,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"If I verify variable ""wh_id"" is assigned",153,1,1675400416119,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""load any environment independent override variables""",161,0,1675400416121,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"When I assign ""Environments/Environment_Override.csv"" to variable ""environment_file""",162,1,1675400416122,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,If I verify file Environments/Environment_Override.csv ($environment_file) exists,163,4,1675400416126,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""load all the variables for the environment from the warehouse specific environment CSV file""",167,1,1675400416132,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"If I verify variable ""wh_id"" is assigned",168,0,1675400416135,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""load all the variables for the environment from the environment CSV file""",176,0,1675400416136,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"When I assign variable ""environment_file"" by combining Environments/PDBD-WM201911 ($environment_directory) ""/"" PDBD-WM201911 ($environment) ""_Environment.csv""",177,1,1675400416137,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,If I verify file Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) exists,178,2,1675400416139,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I execute scenario ""Load Environment File""",179,248,1675400416148,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,"Given I ""load a CSV file containing variable / value pairs and assigns each to a cycle variable""",874,1,1675400416153,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,10,1675400416160,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value 5673 ($value) to unassigned variable wh_id ($variable),876,2,1675400416174,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416180,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value 5673 ($value) to unassigned variable src_wh_id ($variable),876,0,1675400416186,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416189,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value CLIENTB ($value) to unassigned variable client_id ($variable),876,0,1675400416193,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416196,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <TERMINAL DEVICE CODE> ($value) to unassigned variable devcod ($variable),876,1,1675400416200,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416203,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <TERMINAL STARTING LOCATION> ($value) to unassigned variable start_loc ($variable),876,0,1675400416208,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,6,1675400416210,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <MOBILE DEVICE CODE> ($value) to unassigned variable mobile_devcod ($variable),876,1,1675400416217,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416220,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <MOBILE STARTING LOCATION> ($value) to unassigned variable mobile_start_loc ($variable),876,0,1675400416226,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416230,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <VEHICLE TYPE> ($value) to unassigned variable vehtyp ($variable),876,0,1675400416235,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416236,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <RECOVERY DEPOSIT LOCATION> ($value) to unassigned variable recovery_deploc ($variable),876,0,1675400416241,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416244,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value http://4.193.179.220:6100/service ($value) to unassigned variable moca_server_connection ($variable),876,0,1675400416250,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,4,1675400416251,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value SUPER ($value) to unassigned variable moca_credentials ($variable),876,1,1675400416256,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,5,1675400416258,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,"Then I assign value  ($value) to unassigned variable terminal_credentials,<TERMINAL USERNAME and PASSWORD CREDENTIAL - SETUP IN CYCLE'S ""Project Settings/Credentials”> ($variable)",876,0,1675400416266,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,4,1675400416267,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <USER ID FOR WEB> ($value) to unassigned variable username ($variable),876,1,1675400416273,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416275,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,"Then I assign value  ($value) to unassigned variable web_credentials,<WEB USERNAME and PASSWORD CREDENTIAL - SETUP IN CYCLE'S ""Project Settings/Credentials”> ($variable)",876,1,1675400416280,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,5,1675400416282,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,"Then I assign value  ($value) to unassigned variable mobile_credentials,<MOBILE USERNAME and PASSWORD CREDENTIAL - SETUP IN CYCLE'S ""Project Settings/Credentials”> ($variable)",876,1,1675400416288,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416313,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,"Then I assign value  ($value) to unassigned variable ui_credentials,<NATIVE UI USERNAME and PASSWORD CREDENTIAL - SETUP IN CYCLE'S ""Project Settings/Credentials”> ($variable)",876,1,1675400416318,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,4,1675400416320,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value Chrome ($value) to unassigned variable browser ($variable),876,1,1675400416326,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416329,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <WMS MOCA SERVICE CONNECTION STRING> ($value) to unassigned variable server ($variable),876,1,1675400416332,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416334,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <WMS TERMINAL SERVICE ADDRESS - <SERVER NAME>:<PORT> ($value) to unassigned variable terminal_server ($variable),876,1,1675400416338,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416340,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <WMS TERMINAL PROTOCOL> ($value) to unassigned variable terminal_protocol ($variable),876,1,1675400416344,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416346,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <SSH USERNAME> ($value) to unassigned variable ssh_username ($variable),876,0,1675400416350,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416352,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <SSH PASSWORD> ($value) to unassigned variable ssh_password ($variable),876,0,1675400416356,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,4,1675400416358,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value http://4.193.179.220:6110/rp/login?redirectUrl=%2Fportal%3FsiteId%3DWMD1%23wm.config%2Fwm.config.warehouse.warehouse%2F%2F%2F%2F ($value) to unassigned variable web_ui ($variable),876,0,1675400416364,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416366,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <URL FOR WMS MOBILE PORTAL> ($value) to unassigned variable mobile_ui ($variable),876,1,1675400416371,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,2,1675400416373,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value <WMS_CLIENT_UI_PATH> ($value) to unassigned variable ui_path ($variable),876,0,1675400416377,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,3,1675400416380,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,Then I assign value $LESDIR/files/hostin ($value) to unassigned variable wms_inbound_directory ($variable),876,0,1675400416387,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Load Environment File,While I assign values in next row from Environments/PDBD-WM201911/PDBD-WM201911_Environment.csv ($environment_file) to variables,875,5,1675400416389,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""setup directory locations to MSQL, SQL, Groovy, Datasets, Imports, and other locations""",184,0,1675400416398,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I assign value ""Utilities/-/"" to unassigned variable ""utilities_directory_location""",185,1,1675400416399,Pass,SCENARIO_STEP
